Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
21992168,9473094,18408611,9453311,4454132,20295101,4498773,5585111,15484996,2016,Los Angeles Rams,4,109645297,155270000,21365306,18359700
16596445,33636522,20275035,7235957,6256515,26761880,2351257,2784209,25118435,2017,Los Angeles Rams,11,141016255,167000000,10001580,5868729
41348549,14735904,29363516,8653593,8408319,33361188,7578551,2628958,12530409,2018,Los Angeles Rams,13,158608987,177200000,16825476,4444733
27791938,9006508,11875447,5859205,1929852,13716589,3179890,1757127,8422373,2013,Miami Dolphins,8,83538929,123000000,12900362,9708000
19521427,19895599,19091038,8955046,2275690,16364053,5092343,2070888,28509027,2014,Miami Dolphins,8,121775111,133000000,8367964,7154491
16232411,4799913,22120956,7473364,2610310,23095160,2050333,5896888,6287306,2015,Miami Dolphins,6,90566641,143280000,30559418,18485601
35821917,5146216,18622941,13174117,1837186,12789217,2265333,2542296,6333187,2016,Miami Dolphins,10,98532410,155270000,17521239,32264775
36149474,8883082,16269593,12555880,3274080,11151534,1851333,3910586,8428844,2017,Miami Dolphins,6,102474406,167000000,20045967,48224380
38244972,13648248,17925207,10116666,3017610,16171195,1689133,2645226,20047775,2018,Miami Dolphins,7,123506032,177200000,20095019,26749699
36632382,12238356,19659032,9123684,15441147,10163875,2010531,2032244,9260004,2013,Minnesota Vikings,5,119282647,123000000,4909405,4070000
26781873,12465615,17628261,10227677,1581808,11858906,2410531,3825927,10106763,2014,Minnesota Vikings,7,99364225,133000000,8766804,6941000
24564404,10864062,22400285,5245038,16848750,19270412,3455531,6933272,16088332,2015,Minnesota Vikings,11,126255086,143280000,9150229,11107164
21970852,11877548,15116238,10715862,13631690,23278178,1808989,9634489,9422364,2016,Minnesota Vikings,8,119127210,155270000,7538635,28936041
27250680,9900699,18428959,22523284,4535880,32714161,1577353,7455923,11355855,2017,Minnesota Vikings,13,135742794,167000000,11934841,3973346
36673595,18347987,22721901,26462000,8094025,32890568,3230000,8889121,14974641,2018,Minnesota Vikings,8,172283838,177200000,7110150,10457434
13440410,11075452,21934656,14603953,2914034,14601457,4360500,4150882,8160089,2013,New England Patriots,12,95721433,123000000,16697929,10408665
10998390,10303040,16269125,15433436,3967293,23564366,4940500,7302500,13565743,2014,New England Patriots,12,106914393,133000000,18665581,8281962
6073122,16880525,13142344,14791795,2031095,13935743,5163000,11681013,14376934,2015,New England Patriots,12,98735571,143280000,19484524,21475174
8501955,22407997,20448661,15245534,4084272,17468382,6387500,5423230,16898811,2016,New England Patriots,14,117616342,155270000,17529572,9091705
11636697,6598892,17909656,14476470,11010522,36919613,7085000,11905833,10550772,2017,New England Patriots,13,129468455,167000000,7226565,24674499
17020868,15356668,17253020,22915000,7000308,37878020,7860000,14739375,14109734,2018,New England Patriots,11,155807993,177200000,10991148,7823341
9182527,8901666,17964025,18193235,9159750,21352915,2775294,3545951,10819266,2013,New Orleans Saints,11,102449629,123000000,5880872,14145666
6304635,13833920,25308966,19035000,3426875,16826511,4665000,6181041,11856837,2014,New Orleans Saints,7,108853726,133000000,16327000,6139549
